dataset,sequence_identity,num_clusters
Fold03_200x_PE_samples_RNABLOOM,0.50,4
Fold03_200x_PE_samples_SOAPDENOVO,1.00,675
Fold03_200x_PE_samples_SOAPDENOVO,0.99,675
Fold03_200x_PE_samples_SOAPDENOVO,0.98,675
Fold03_200x_PE_samples_SOAPDENOVO,0.97,675
Fold03_200x_PE_samples_SOAPDENOVO,0.96,674
Fold03_200x_PE_samples_SOAPDENOVO,0.95,673
Fold03_200x_PE_samples_SOAPDENOVO,0.94,670
Fold03_200x_PE_samples_SOAPDENOVO,0.93,666
Fold03_200x_PE_samples_SOAPDENOVO,0.92,662
Fold03_200x_PE_samples_SOAPDENOVO,0.91,659
Fold03_200x_PE_samples_SOAPDENOVO,0.90,658
Fold03_200x_PE_samples_SOAPDENOVO,0.80,636
Fold03_200x_PE_samples_SOAPDENOVO,0.70,602
Fold03_200x_PE_samples_SOAPDENOVO,0.60,530
Fold03_200x_PE_samples_SOAPDENOVO,0.50,357
Fold03_200x_PE_samples_SPADES,1.00,680
Fold03_200x_PE_samples_SPADES,0.99,677
Fold03_200x_PE_samples_SPADES,0.98,674
Fold03_200x_PE_samples_SPADES,0.97,667
Fold03_200x_PE_samples_SPADES,0.96,662
Fold03_200x_PE_samples_SPADES,0.95,656
Fold03_200x_PE_samples_SPADES,0.94,654
Fold03_200x_PE_samples_SPADES,0.93,648
Fold03_200x_PE_samples_SPADES,0.92,637
Fold03_200x_PE_samples_SPADES,0.91,628
Fold03_200x_PE_samples_SPADES,0.90,619
Fold03_200x_PE_samples_SPADES,0.80,525
Fold03_200x_PE_samples_SPADES,0.70,415
Fold03_200x_PE_samples_SPADES,0.60,359
Fold03_200x_PE_samples_SPADES,0.50,245
Fold03_200x_PE_samples_STRINGTIE,1.00,1465
Fold03_200x_PE_samples_STRINGTIE,0.99,1319
Fold03_200x_PE_samples_STRINGTIE,0.98,1224
Fold03_200x_PE_samples_STRINGTIE,0.97,1165
Fold03_200x_PE_samples_STRINGTIE,0.96,1127
Fold03_200x_PE_samples_STRINGTIE,0.95,1095
Fold03_200x_PE_samples_STRINGTIE,0.94,1058
Fold03_200x_PE_samples_STRINGTIE,0.93,1024
Fold03_200x_PE_samples_STRINGTIE,0.92,1005
Fold03_200x_PE_samples_STRINGTIE,0.91,964
Fold03_200x_PE_samples_STRINGTIE,0.90,941
Fold03_200x_PE_samples_STRINGTIE,0.80,591
Fold03_200x_PE_samples_STRINGTIE,0.70,406
Fold03_200x_PE_samples_STRINGTIE,0.60,305
Fold03_200x_PE_samples_STRINGTIE,0.50,207
Fold03_200x_PE_samples_TRANSABBYS,1.00,2124
Fold03_200x_PE_samples_TRANSABBYS,0.99,1918
Fold03_200x_PE_samples_TRANSABBYS,0.98,1763
Fold03_200x_PE_samples_TRANSABBYS,0.97,1756
Fold03_200x_PE_samples_TRANSABBYS,0.96,1751
Fold03_200x_PE_samples_TRANSABBYS,0.95,1747
Fold03_200x_PE_samples_TRANSABBYS,0.94,1741
Fold03_200x_PE_samples_TRANSABBYS,0.93,1737
Fold03_200x_PE_samples_TRANSABBYS,0.92,1728
Fold03_200x_PE_samples_TRANSABBYS,0.91,1719
Fold03_200x_PE_samples_TRANSABBYS,0.90,1708
Fold03_200x_PE_samples_TRANSABBYS,0.80,1584
Fold03_200x_PE_samples_TRANSABBYS,0.70,1368
Fold03_200x_PE_samples_TRANSABBYS,0.60,1169
Fold03_200x_PE_samples_TRANSABBYS,0.50,696
Fold03_200x_PE_samples_TRINITY,1.00,1367
Fold03_200x_PE_samples_TRINITY,0.99,1342
Fold03_200x_PE_samples_TRINITY,0.98,1284
Fold03_200x_PE_samples_TRINITY,0.97,1196
Fold03_200x_PE_samples_TRINITY,0.96,1137
Fold03_200x_PE_samples_TRINITY,0.95,1105
Fold03_200x_PE_samples_TRINITY,0.94,1064
Fold03_200x_PE_samples_TRINITY,0.93,1028
Fold03_200x_PE_samples_TRINITY,0.92,1002
Fold03_200x_PE_samples_TRINITY,0.91,961
Fold03_200x_PE_samples_TRINITY,0.90,947
Fold03_200x_PE_samples_TRINITY,0.80,749
Fold03_200x_PE_samples_TRINITY,0.70,562
Fold03_200x_PE_samples_TRINITY,0.60,511
Fold03_200x_PE_samples_TRINITY,0.50,360
Fold04_200x_PE_samples_BINPACKER,1.00,637
Fold04_200x_PE_samples_BINPACKER,0.99,564
Fold04_200x_PE_samples_BINPACKER,0.98,531
Fold04_200x_PE_samples_BINPACKER,0.97,511
Fold04_200x_PE_samples_BINPACKER,0.96,496
Fold04_200x_PE_samples_BINPACKER,0.95,486
Fold04_200x_PE_samples_BINPACKER,0.94,474
Fold04_200x_PE_samples_BINPACKER,0.93,464
Fold04_200x_PE_samples_BINPACKER,0.92,459
Fold04_200x_PE_samples_BINPACKER,0.91,449
Fold04_200x_PE_samples_BINPACKER,0.90,441
Fold04_200x_PE_samples_BINPACKER,0.80,403
Fold04_200x_PE_samples_BINPACKER,0.70,360
Fold04_200x_PE_samples_BINPACKER,0.60,320
Fold04_200x_PE_samples_BINPACKER,0.50,232
Fold04_200x_PE_samples_BRIDGER,1.00,492
Fold04_200x_PE_samples_BRIDGER,0.99,474
Fold04_200x_PE_samples_BRIDGER,0.98,451
Fold04_200x_PE_samples_BRIDGER,0.97,437
Fold04_200x_PE_samples_BRIDGER,0.96,422
Fold04_200x_PE_samples_BRIDGER,0.95,411
Fold04_200x_PE_samples_BRIDGER,0.94,400
Fold04_200x_PE_samples_BRIDGER,0.93,394
Fold04_200x_PE_samples_BRIDGER,0.92,392
Fold04_200x_PE_samples_BRIDGER,0.91,384
Fold04_200x_PE_samples_BRIDGER,0.90,380
Fold04_200x_PE_samples_BRIDGER,0.80,345
Fold04_200x_PE_samples_BRIDGER,0.70,312
Fold04_200x_PE_samples_BRIDGER,0.60,278
Fold04_200x_PE_samples_BRIDGER,0.50,192
Fold04_200x_PE_samples_CSTONE,1.00,324
Fold04_200x_PE_samples_CSTONE,0.99,288
Fold04_200x_PE_samples_CSTONE,0.98,281
Fold04_200x_PE_samples_CSTONE,0.97,278
Fold04_200x_PE_samples_CSTONE,0.96,277
Fold04_200x_PE_samples_CSTONE,0.95,277
Fold04_200x_PE_samples_CSTONE,0.94,277
Fold04_200x_PE_samples_CSTONE,0.93,276
Fold04_200x_PE_samples_CSTONE,0.92,274
Fold04_200x_PE_samples_CSTONE,0.91,274
Fold04_200x_PE_samples_CSTONE,0.90,274
Fold04_200x_PE_samples_CSTONE,0.80,266
Fold04_200x_PE_samples_CSTONE,0.70,238
Fold04_200x_PE_samples_CSTONE,0.60,217
Fold04_200x_PE_samples_CSTONE,0.50,155
Fold04_200x_PE_samples_IDBA,1.00,428
Fold04_200x_PE_samples_IDBA,0.99,428
Fold04_200x_PE_samples_IDBA,0.98,425
Fold04_200x_PE_samples_IDBA,0.97,423
Fold04_200x_PE_samples_IDBA,0.96,421
Fold04_200x_PE_samples_IDBA,0.95,419
Fold04_200x_PE_samples_IDBA,0.94,415
Fold04_200x_PE_samples_IDBA,0.93,412
Fold04_200x_PE_samples_IDBA,0.92,409
Fold04_200x_PE_samples_IDBA,0.91,406
Fold04_200x_PE_samples_IDBA,0.90,398
Fold04_200x_PE_samples_IDBA,0.80,289
Fold04_200x_PE_samples_IDBA,0.70,235
Fold04_200x_PE_samples_IDBA,0.60,210
Fold04_200x_PE_samples_IDBA,0.50,182
Fold04_200x_PE_samples_MEGAHIT,1.00,472
Fold04_200x_PE_samples_MEGAHIT,0.99,462
Fold04_200x_PE_samples_MEGAHIT,0.98,457
Fold04_200x_PE_samples_MEGAHIT,0.97,451
Fold04_200x_PE_samples_MEGAHIT,0.96,449
Fold04_200x_PE_samples_MEGAHIT,0.95,446
Fold04_200x_PE_samples_MEGAHIT,0.94,442
Fold04_200x_PE_samples_MEGAHIT,0.93,439
Fold04_200x_PE_samples_MEGAHIT,0.92,435
Fold04_200x_PE_samples_MEGAHIT,0.91,431
Fold04_200x_PE_samples_MEGAHIT,0.90,422
Fold04_200x_PE_samples_MEGAHIT,0.80,322
Fold04_200x_PE_samples_MEGAHIT,0.70,256
Fold04_200x_PE_samples_MEGAHIT,0.60,230
Fold04_200x_PE_samples_MEGAHIT,0.50,182
Fold04_200x_PE_samples_MERGEPIPE,1.00,172479
Fold04_200x_PE_samples_MERGEPIPE,0.99,126514
Fold04_200x_PE_samples_MERGEPIPE,0.98,92330
Fold04_200x_PE_samples_MERGEPIPE,0.97,75757
Fold04_200x_PE_samples_MERGEPIPE,0.96,68376
Fold04_200x_PE_samples_MERGEPIPE,0.95,64825
Fold04_200x_PE_samples_MERGEPIPE,0.94,61878
Fold04_200x_PE_samples_MERGEPIPE,0.93,59776
Fold04_200x_PE_samples_MERGEPIPE,0.92,58052
Fold04_200x_PE_samples_MERGEPIPE,0.91,56644
Fold04_200x_PE_samples_MERGEPIPE,0.90,55379
Fold04_200x_PE_samples_MERGEPIPE,0.80,64210
Fold04_200x_PE_samples_MERGEPIPE,0.70,55353
Fold04_200x_PE_samples_MERGEPIPE,0.60,51573
Fold04_200x_PE_samples_MERGEPIPE,0.50,46356
Fold04_200x_PE_samples_PLASS,1.00,170403
Fold04_200x_PE_samples_PLASS,0.99,124028
Fold04_200x_PE_samples_PLASS,0.98,90818
Fold04_200x_PE_samples_PLASS,0.97,74407
Fold04_200x_PE_samples_PLASS,0.96,67362
Fold04_200x_PE_samples_PLASS,0.95,63770
Fold04_200x_PE_samples_PLASS,0.94,61023
Fold04_200x_PE_samples_PLASS,0.93,59002
Fold04_200x_PE_samples_PLASS,0.92,57252
Fold04_200x_PE_samples_PLASS,0.91,55888
Fold04_200x_PE_samples_PLASS,0.90,54601
Fold04_200x_PE_samples_PLASS,0.80,63446
Fold04_200x_PE_samples_PLASS,0.70,54750
Fold04_200x_PE_samples_PLASS,0.60,51021
Fold04_200x_PE_samples_PLASS,0.50,45493
Fold04_200x_PE_samples_RNABLOOM,1.00,7
Fold04_200x_PE_samples_RNABLOOM,0.99,7
Fold04_200x_PE_samples_RNABLOOM,0.98,7
Fold04_200x_PE_samples_RNABLOOM,0.97,7
Fold04_200x_PE_samples_RNABLOOM,0.96,7
Fold04_200x_PE_samples_RNABLOOM,0.95,7
Fold04_200x_PE_samples_RNABLOOM,0.94,7
Fold04_200x_PE_samples_RNABLOOM,0.93,7
Fold04_200x_PE_samples_RNABLOOM,0.92,7
Fold04_200x_PE_samples_RNABLOOM,0.91,7
Fold04_200x_PE_samples_RNABLOOM,0.90,7
Fold04_200x_PE_samples_RNABLOOM,0.80,7
Fold04_200x_PE_samples_RNABLOOM,0.70,7
Fold04_200x_PE_samples_RNABLOOM,0.60,7
Fold04_200x_PE_samples_RNABLOOM,0.50,6
Fold04_200x_PE_samples_SOAPDENOVO,1.00,681
Fold04_200x_PE_samples_SOAPDENOVO,0.99,681
Fold04_200x_PE_samples_SOAPDENOVO,0.98,681
Fold04_200x_PE_samples_SOAPDENOVO,0.97,681
Fold04_200x_PE_samples_SOAPDENOVO,0.96,680
Fold04_200x_PE_samples_SOAPDENOVO,0.95,680
Fold04_200x_PE_samples_SOAPDENOVO,0.94,678
Fold04_200x_PE_samples_SOAPDENOVO,0.93,677
Fold04_200x_PE_samples_SOAPDENOVO,0.92,671
Fold04_200x_PE_samples_SOAPDENOVO,0.91,665
Fold04_200x_PE_samples_SOAPDENOVO,0.90,663
Fold04_200x_PE_samples_SOAPDENOVO,0.80,636
Fold04_200x_PE_samples_SOAPDENOVO,0.70,589
Fold04_200x_PE_samples_SOAPDENOVO,0.60,529
Fold04_200x_PE_samples_SOAPDENOVO,0.50,359
Fold04_200x_PE_samples_SPADES,1.00,687
Fold04_200x_PE_samples_SPADES,0.99,680
Fold04_200x_PE_samples_SPADES,0.98,676
Fold04_200x_PE_samples_SPADES,0.97,673
Fold04_200x_PE_samples_SPADES,0.96,668
Fold04_200x_PE_samples_SPADES,0.95,665
Fold04_200x_PE_samples_SPADES,0.94,662
Fold04_200x_PE_samples_SPADES,0.93,657
Fold04_200x_PE_samples_SPADES,0.92,650
Fold04_200x_PE_samples_SPADES,0.91,643
Fold04_200x_PE_samples_SPADES,0.90,636
Fold04_200x_PE_samples_SPADES,0.80,510
Fold04_200x_PE_samples_SPADES,0.70,423
Fold04_200x_PE_samples_SPADES,0.60,358
Fold04_200x_PE_samples_SPADES,0.50,255
Fold04_200x_PE_samples_STRINGTIE,1.00,1457
Fold04_200x_PE_samples_STRINGTIE,0.99,1317
Fold04_200x_PE_samples_STRINGTIE,0.98,1219
Fold04_200x_PE_samples_STRINGTIE,0.97,1165
Fold04_200x_PE_samples_STRINGTIE,0.96,1117
Fold04_200x_PE_samples_STRINGTIE,0.95,1087
Fold04_200x_PE_samples_STRINGTIE,0.94,1046
Fold04_200x_PE_samples_STRINGTIE,0.93,1019
Fold04_200x_PE_samples_STRINGTIE,0.92,998
Fold04_200x_PE_samples_STRINGTIE,0.91,965
Fold04_200x_PE_samples_STRINGTIE,0.90,930
Fold04_200x_PE_samples_STRINGTIE,0.80,592
Fold04_200x_PE_samples_STRINGTIE,0.70,407
Fold04_200x_PE_samples_STRINGTIE,0.60,317
Fold04_200x_PE_samples_STRINGTIE,0.50,198
Fold04_200x_PE_samples_TRANSABBYS,1.00,2083
Fold04_200x_PE_samples_TRANSABBYS,0.99,1888
Fold04_200x_PE_samples_TRANSABBYS,0.98,1778
Fold04_200x_PE_samples_TRANSABBYS,0.97,1772
Fold04_200x_PE_samples_TRANSABBYS,0.96,1767
Fold04_200x_PE_samples_TRANSABBYS,0.95,1760
Fold04_200x_PE_samples_TRANSABBYS,0.94,1757
Fold04_200x_PE_samples_TRANSABBYS,0.93,1751
Fold04_200x_PE_samples_TRANSABBYS,0.92,1743
Fold04_200x_PE_samples_TRANSABBYS,0.91,1736
Fold04_200x_PE_samples_TRANSABBYS,0.90,1724
Fold04_200x_PE_samples_TRANSABBYS,0.80,1592
Fold04_200x_PE_samples_TRANSABBYS,0.70,1366
Fold04_200x_PE_samples_TRANSABBYS,0.60,1165
Fold04_200x_PE_samples_TRANSABBYS,0.50,671
Fold04_200x_PE_samples_TRINITY,1.00,1403
Fold04_200x_PE_samples_TRINITY,0.99,1377
Fold04_200x_PE_samples_TRINITY,0.98,1319
Fold04_200x_PE_samples_TRINITY,0.97,1228
Fold04_200x_PE_samples_TRINITY,0.96,1168
Fold04_200x_PE_samples_TRINITY,0.95,1124
Fold04_200x_PE_samples_TRINITY,0.94,1092
Fold04_200x_PE_samples_TRINITY,0.93,1064
Fold04_200x_PE_samples_TRINITY,0.92,1034
Fold04_200x_PE_samples_TRINITY,0.91,999
Fold04_200x_PE_samples_TRINITY,0.90,973
Fold04_200x_PE_samples_TRINITY,0.80,739
Fold04_200x_PE_samples_TRINITY,0.70,575
Fold04_200x_PE_samples_TRINITY,0.60,492
Fold04_200x_PE_samples_TRINITY,0.50,367
Fold05_200x_PE_samples_BINPACKER,1.00,672
Fold05_200x_PE_samples_BINPACKER,0.99,581
Fold05_200x_PE_samples_BINPACKER,0.98,548
Fold05_200x_PE_samples_BINPACKER,0.97,522
Fold05_200x_PE_samples_BINPACKER,0.96,505
Fold05_200x_PE_samples_BINPACKER,0.95,495
Fold05_200x_PE_samples_BINPACKER,0.94,485
Fold05_200x_PE_samples_BINPACKER,0.93,477
Fold05_200x_PE_samples_BINPACKER,0.92,468
Fold05_200x_PE_samples_BINPACKER,0.91,463
Fold05_200x_PE_samples_BINPACKER,0.90,459
Fold05_200x_PE_samples_BINPACKER,0.80,427
Fold05_200x_PE_samples_BINPACKER,0.70,391
Fold05_200x_PE_samples_BINPACKER,0.60,350
Fold05_200x_PE_samples_BINPACKER,0.50,245
Fold05_200x_PE_samples_BRIDGER,1.00,529
Fold05_200x_PE_samples_BRIDGER,0.99,488
Fold05_200x_PE_samples_BRIDGER,0.98,467
Fold05_200x_PE_samples_BRIDGER,0.97,449
Fold05_200x_PE_samples_BRIDGER,0.96,439
Fold05_200x_PE_samples_BRIDGER,0.95,430
Fold05_200x_PE_samples_BRIDGER,0.94,418
Fold05_200x_PE_samples_BRIDGER,0.93,408
Fold05_200x_PE_samples_BRIDGER,0.92,400
Fold05_200x_PE_samples_BRIDGER,0.91,395
Fold05_200x_PE_samples_BRIDGER,0.90,391
Fold05_200x_PE_samples_BRIDGER,0.80,368
Fold05_200x_PE_samples_BRIDGER,0.70,336
Fold05_200x_PE_samples_BRIDGER,0.60,301
Fold05_200x_PE_samples_BRIDGER,0.50,204
Fold05_200x_PE_samples_CSTONE,1.00,339
Fold05_200x_PE_samples_CSTONE,0.99,297
Fold05_200x_PE_samples_CSTONE,0.98,287
Fold05_200x_PE_samples_CSTONE,0.97,282
Fold05_200x_PE_samples_CSTONE,0.96,280
Fold05_200x_PE_samples_CSTONE,0.95,280
Fold05_200x_PE_samples_CSTONE,0.94,280
Fold05_200x_PE_samples_CSTONE,0.93,278
Fold05_200x_PE_samples_CSTONE,0.92,277
Fold05_200x_PE_samples_CSTONE,0.91,277
Fold05_200x_PE_samples_CSTONE,0.90,277
Fold05_200x_PE_samples_CSTONE,0.80,265
Fold05_200x_PE_samples_CSTONE,0.70,247
Fold05_200x_PE_samples_CSTONE,0.60,230
Fold05_200x_PE_samples_CSTONE,0.50,152
Fold05_200x_PE_samples_IDBA,1.00,416
Fold05_200x_PE_samples_IDBA,0.99,416
Fold05_200x_PE_samples_IDBA,0.98,415
Fold05_200x_PE_samples_IDBA,0.97,411
Fold05_200x_PE_samples_IDBA,0.96,408
Fold05_200x_PE_samples_IDBA,0.95,408
Fold05_200x_PE_samples_IDBA,0.94,406
Fold05_200x_PE_samples_IDBA,0.93,403
Fold05_200x_PE_samples_IDBA,0.92,402
Fold05_200x_PE_samples_IDBA,0.91,398
Fold05_200x_PE_samples_IDBA,0.90,396
Fold05_200x_PE_samples_IDBA,0.80,308
Fold05_200x_PE_samples_IDBA,0.70,256
Fold05_200x_PE_samples_IDBA,0.60,227
Fold05_200x_PE_samples_IDBA,0.50,194
Fold05_200x_PE_samples_MEGAHIT,1.00,462
Fold05_200x_PE_samples_MEGAHIT,0.99,458
Fold05_200x_PE_samples_MEGAHIT,0.98,455
Fold05_200x_PE_samples_MEGAHIT,0.97,454
Fold05_200x_PE_samples_MEGAHIT,0.96,450
Fold05_200x_PE_samples_MEGAHIT,0.95,444
Fold05_200x_PE_samples_MEGAHIT,0.94,440
Fold05_200x_PE_samples_MEGAHIT,0.93,439
Fold05_200x_PE_samples_MEGAHIT,0.92,438
Fold05_200x_PE_samples_MEGAHIT,0.91,433
Fold05_200x_PE_samples_MEGAHIT,0.90,430
Fold05_200x_PE_samples_MEGAHIT,0.80,316
Fold05_200x_PE_samples_MEGAHIT,0.70,254
Fold05_200x_PE_samples_MEGAHIT,0.60,227
Fold05_200x_PE_samples_MEGAHIT,0.50,187
Fold05_200x_PE_samples_MERGEPIPE,1.00,172000
Fold05_200x_PE_samples_MERGEPIPE,0.99,125127
Fold05_200x_PE_samples_MERGEPIPE,0.98,91121
Fold05_200x_PE_samples_MERGEPIPE,0.97,74323
Fold05_200x_PE_samples_MERGEPIPE,0.96,67041
Fold05_200x_PE_samples_MERGEPIPE,0.95,63228
Fold05_200x_PE_samples_MERGEPIPE,0.94,60460
Fold05_200x_PE_samples_MERGEPIPE,0.93,58689
Fold05_200x_PE_samples_MERGEPIPE,0.92,57131
Fold05_200x_PE_samples_MERGEPIPE,0.91,55557
Fold05_200x_PE_samples_MERGEPIPE,0.90,54423
Fold05_200x_PE_samples_MERGEPIPE,0.80,63504
Fold05_200x_PE_samples_MERGEPIPE,0.70,55148
Fold05_200x_PE_samples_MERGEPIPE,0.60,51942
Fold05_200x_PE_samples_MERGEPIPE,0.50,46151
Fold05_200x_PE_samples_PLASS,1.00,170041
Fold05_200x_PE_samples_PLASS,0.99,123104
Fold05_200x_PE_samples_PLASS,0.98,89478
Fold05_200x_PE_samples_PLASS,0.97,72880
Fold05_200x_PE_samples_PLASS,0.96,65779
Fold05_200x_PE_samples_PLASS,0.95,61916
Fold05_200x_PE_samples_PLASS,0.94,59366
Fold05_200x_PE_samples_PLASS,0.93,57658
Fold05_200x_PE_samples_PLASS,0.92,56036
Fold05_200x_PE_samples_PLASS,0.91,54816
Fold05_200x_PE_samples_PLASS,0.90,53449
Fold05_200x_PE_samples_PLASS,0.80,62626
Fold05_200x_PE_samples_PLASS,0.70,54673
Fold05_200x_PE_samples_PLASS,0.60,51474
Fold05_200x_PE_samples_PLASS,0.50,45471
Fold05_200x_PE_samples_RNABLOOM,1.00,2278
Fold05_200x_PE_samples_RNABLOOM,0.99,2185
Fold05_200x_PE_samples_RNABLOOM,0.98,2068
Fold05_200x_PE_samples_RNABLOOM,0.97,1940
Fold05_200x_PE_samples_RNABLOOM,0.96,1824
Fold05_200x_PE_samples_RNABLOOM,0.95,1766
Fold05_200x_PE_samples_RNABLOOM,0.94,1707
Fold05_200x_PE_samples_RNABLOOM,0.93,1673
Fold05_200x_PE_samples_RNABLOOM,0.92,1644
Fold05_200x_PE_samples_RNABLOOM,0.91,1598
Fold05_200x_PE_samples_RNABLOOM,0.90,1562
Fold05_200x_PE_samples_RNABLOOM,0.80,1186
Fold05_200x_PE_samples_RNABLOOM,0.70,877
Fold05_200x_PE_samples_RNABLOOM,0.60,755
Fold05_200x_PE_samples_RNABLOOM,0.50,589
Fold05_200x_PE_samples_SOAPDENOVO,1.00,685
Fold05_200x_PE_samples_SOAPDENOVO,0.99,685
Fold05_200x_PE_samples_SOAPDENOVO,0.98,685
Fold05_200x_PE_samples_SOAPDENOVO,0.97,685
Fold05_200x_PE_samples_SOAPDENOVO,0.96,684
Fold05_200x_PE_samples_SOAPDENOVO,0.95,683
Fold05_200x_PE_samples_SOAPDENOVO,0.94,681
Fold05_200x_PE_samples_SOAPDENOVO,0.93,680
Fold05_200x_PE_samples_SOAPDENOVO,0.92,676
Fold05_200x_PE_samples_SOAPDENOVO,0.91,668
Fold05_200x_PE_samples_SOAPDENOVO,0.90,665
Fold05_200x_PE_samples_SOAPDENOVO,0.80,636
Fold05_200x_PE_samples_SOAPDENOVO,0.70,585
Fold05_200x_PE_samples_SOAPDENOVO,0.60,527
Fold05_200x_PE_samples_SOAPDENOVO,0.50,369
Fold05_200x_PE_samples_SPADES,1.00,669
Fold05_200x_PE_samples_SPADES,0.99,663
Fold05_200x_PE_samples_SPADES,0.98,660
Fold05_200x_PE_samples_SPADES,0.97,653
Fold05_200x_PE_samples_SPADES,0.96,649
Fold05_200x_PE_samples_SPADES,0.95,642
Fold05_200x_PE_samples_SPADES,0.94,637
Fold05_200x_PE_samples_SPADES,0.93,630
Fold05_200x_PE_samples_SPADES,0.92,621
Fold05_200x_PE_samples_SPADES,0.91,612
Fold05_200x_PE_samples_SPADES,0.90,607
Fold05_200x_PE_samples_SPADES,0.80,510
Fold05_200x_PE_samples_SPADES,0.70,406
Fold05_200x_PE_samples_SPADES,0.60,347
Fold05_200x_PE_samples_SPADES,0.50,235
Fold05_200x_PE_samples_STRINGTIE,1.00,1459
Fold05_200x_PE_samples_STRINGTIE,0.99,1298
Fold05_200x_PE_samples_STRINGTIE,0.98,1220
Fold05_200x_PE_samples_STRINGTIE,0.97,1169
Fold05_200x_PE_samples_STRINGTIE,0.96,1132
Fold05_200x_PE_samples_STRINGTIE,0.95,1097
Fold05_200x_PE_samples_STRINGTIE,0.94,1058
Fold05_200x_PE_samples_STRINGTIE,0.93,1027
Fold05_200x_PE_samples_STRINGTIE,0.92,1005
Fold05_200x_PE_samples_STRINGTIE,0.91,972
Fold05_200x_PE_samples_STRINGTIE,0.90,948
Fold05_200x_PE_samples_STRINGTIE,0.80,601
Fold05_200x_PE_samples_STRINGTIE,0.70,410
Fold05_200x_PE_samples_STRINGTIE,0.60,332
Fold05_200x_PE_samples_STRINGTIE,0.50,210
Fold05_200x_PE_samples_TRANSABBYS,1.00,2082
Fold05_200x_PE_samples_TRANSABBYS,0.99,1857
Fold05_200x_PE_samples_TRANSABBYS,0.98,1738
Fold05_200x_PE_samples_TRANSABBYS,0.97,1726
Fold05_200x_PE_samples_TRANSABBYS,0.96,1719
Fold05_200x_PE_samples_TRANSABBYS,0.95,1715
Fold05_200x_PE_samples_TRANSABBYS,0.94,1712
Fold05_200x_PE_samples_TRANSABBYS,0.93,1707
Fold05_200x_PE_samples_TRANSABBYS,0.92,1699
Fold05_200x_PE_samples_TRANSABBYS,0.91,1696
Fold05_200x_PE_samples_TRANSABBYS,0.90,1684
Fold05_200x_PE_samples_TRANSABBYS,0.80,1552
Fold05_200x_PE_samples_TRANSABBYS,0.70,1329
Fold05_200x_PE_samples_TRANSABBYS,0.60,1128
Fold05_200x_PE_samples_TRANSABBYS,0.50,643
Fold05_200x_PE_samples_TRINITY,1.00,1402
Fold05_200x_PE_samples_TRINITY,0.99,1374
Fold05_200x_PE_samples_TRINITY,0.98,1311
Fold05_200x_PE_samples_TRINITY,0.97,1230
Fold05_200x_PE_samples_TRINITY,0.96,1180
Fold05_200x_PE_samples_TRINITY,0.95,1131
Fold05_200x_PE_samples_TRINITY,0.94,1086
Fold05_200x_PE_samples_TRINITY,0.93,1043
Fold05_200x_PE_samples_TRINITY,0.92,1017
Fold05_200x_PE_samples_TRINITY,0.91,982
Fold05_200x_PE_samples_TRINITY,0.90,963
Fold05_200x_PE_samples_TRINITY,0.80,742
Fold05_200x_PE_samples_TRINITY,0.70,569
Fold05_200x_PE_samples_TRINITY,0.60,487
Fold05_200x_PE_samples_TRINITY,0.50,352
Fold06_200x_PE_samples_BINPACKER,1.00,677
Fold06_200x_PE_samples_BINPACKER,0.99,578
Fold06_200x_PE_samples_BINPACKER,0.98,534
Fold06_200x_PE_samples_BINPACKER,0.97,508
Fold06_200x_PE_samples_BINPACKER,0.96,498
Fold06_200x_PE_samples_BINPACKER,0.95,482
Fold06_200x_PE_samples_BINPACKER,0.94,476
Fold06_200x_PE_samples_BINPACKER,0.93,467
Fold06_200x_PE_samples_BINPACKER,0.92,457
Fold06_200x_PE_samples_BINPACKER,0.91,452
Fold06_200x_PE_samples_BINPACKER,0.90,442
Fold06_200x_PE_samples_BINPACKER,0.80,403
Fold06_200x_PE_samples_BINPACKER,0.70,371
Fold06_200x_PE_samples_BINPACKER,0.60,330
Fold06_200x_PE_samples_BINPACKER,0.50,245
Fold06_200x_PE_samples_BRIDGER,1.00,505
Fold06_200x_PE_samples_BRIDGER,0.99,474
Fold06_200x_PE_samples_BRIDGER,0.98,446
Fold06_200x_PE_samples_BRIDGER,0.97,433
Fold06_200x_PE_samples_BRIDGER,0.96,421
Fold06_200x_PE_samples_BRIDGER,0.95,414
Fold06_200x_PE_samples_BRIDGER,0.94,407
Fold06_200x_PE_samples_BRIDGER,0.93,395
Fold06_200x_PE_samples_BRIDGER,0.92,386
Fold06_200x_PE_samples_BRIDGER,0.91,384
Fold06_200x_PE_samples_BRIDGER,0.90,380
Fold06_200x_PE_samples_BRIDGER,0.80,353
Fold06_200x_PE_samples_BRIDGER,0.70,327
Fold06_200x_PE_samples_BRIDGER,0.60,286
Fold06_200x_PE_samples_BRIDGER,0.50,215
Fold06_200x_PE_samples_CSTONE,1.00,326
Fold06_200x_PE_samples_CSTONE,0.99,297
Fold06_200x_PE_samples_CSTONE,0.98,287
Fold06_200x_PE_samples_CSTONE,0.97,282
Fold06_200x_PE_samples_CSTONE,0.96,282
Fold06_200x_PE_samples_CSTONE,0.95,281
Fold06_200x_PE_samples_CSTONE,0.94,280
Fold06_200x_PE_samples_CSTONE,0.93,279
Fold06_200x_PE_samples_CSTONE,0.92,278
Fold06_200x_PE_samples_CSTONE,0.91,278
Fold06_200x_PE_samples_CSTONE,0.90,277
Fold06_200x_PE_samples_CSTONE,0.80,265
