assembler,sequence_identity,n_datasets,mean_clusters,se_clusters,min_clusters,max_clusters
SOAPDENOVO,0.99,180,682.8333333333334,0.6507647222875965,668,701
SOAPDENOVO,1,180,682.8333333333334,0.6507647222875965,668,701
SPADES,0.5,180,243,0.6733832973700111,228,257
SPADES,0.6,180,350.9166666666667,0.7667789975192473,333,366
SPADES,0.7,180,408.75,0.798698312514436,392,424
SPADES,0.8,180,510.9166666666667,0.6249456835491514,501,525
SPADES,0.9,180,615.9166666666666,0.7835947897590653,595,636
SPADES,0.91,180,624.8333333333334,0.7541525843104292,605,643
SPADES,0.92,180,632.5833333333334,0.7210962669400731,616,650
SPADES,0.93,180,639.25,0.7104729979523267,622,657
SPADES,0.94,180,644.6666666666666,0.7053488995828721,627,662
SPADES,0.95,180,648.25,0.6720857498273883,633,665
SPADES,0.96,180,651.8333333333334,0.6977173031632923,637,668
SPADES,0.97,180,654.3333333333334,0.7618299377996843,637,673
SPADES,0.98,180,657.9166666666666,0.7930437400805475,639,676
SPADES,0.99,180,662.3333333333334,0.6893262663120308,646,680
SPADES,1,180,665.6666666666666,0.7787526036096457,648,687
STRINGTIE,0.5,180,207.83333333333331,0.49091687612826634,198,220
STRINGTIE,0.6,180,319.83333333333337,0.7076552236650168,303,332
STRINGTIE,0.7,180,406.75,0.3861245638015661,396,415
STRINGTIE,0.8,180,596.8333333333334,0.5533319871649052,580,608
STRINGTIE,0.9,180,939.75,0.46589954240443604,930,953
STRINGTIE,0.91,180,969.9166666666666,0.2615281216445461,964,975
STRINGTIE,0.92,180,1000.25,0.24813081490120925,993,1005
STRINGTIE,0.93,180,1023.3333333333334,0.2330538363274452,1017,1028
STRINGTIE,0.94,180,1056,0.46377127863062145,1046,1067
STRINGTIE,0.95,180,1092.25,0.356013777901735,1087,1100
STRINGTIE,0.96,180,1123.1666666666667,0.3964851782677019,1114,1132
STRINGTIE,0.97,180,1163.8333333333333,0.30026886358848487,1157,1169
STRINGTIE,0.98,180,1219.4166666666667,0.31924365535363614,1209,1225
STRINGTIE,0.99,180,1311.6666666666667,0.6020861725333042,1297,1324
STRINGTIE,1,180,1459,0.3126745322671669,1450,1466
TRANSABBYS,0.5,180,680.0833333333334,1.2893556246255613,643,701
TRANSABBYS,0.6,180,1163.1666666666667,1.7520494339825456,1128,1199
